A00|霍乱
C19|胆囊恶性肿瘤
C20|胰腺恶性肿瘤
C21|其他消化系统恶性肿瘤
C22|鼻腔恶性肿瘤
C23|鼻窦恶性肿瘤
C24|中耳恶性肿瘤
C25|支气管和肺恶性肿瘤
C26|胸腺恶性肿瘤
C27|心脏恶性肿瘤
C28|纵隔恶性肿瘤
C29|呼吸系统恶性肿瘤
C30|骨恶性肿瘤
C31|关节恶性肿瘤
C32|软骨恶性肿瘤
C33|滑膜恶性肿瘤
C34|结缔组织恶性肿瘤
C35|皮肤黑色素瘤
C36|皮肤其他恶性肿瘤
C37|眼睑恶性肿瘤
C38|其他眼恶性肿瘤
C39|脑膜恶性肿瘤
C40|脑恶性肿瘤
C41|脊髓恶性肿瘤
C42|周围神经恶性肿瘤
C43|自主神经系统恶性肿瘤
C44|甲状腺恶性肿瘤
C45|肾上腺恶性肿瘤
C46|甲状旁腺恶性肿瘤
C47|垂体恶性肿瘤
C48|颅咽管瘤
C49|松果体恶性肿瘤
C50|乳房恶性肿瘤
C51|外阴恶性肿瘤
C52|阴道恶性肿瘤
C53|宫颈恶性肿瘤
C54|子宫体恶性肿瘤
C55|卵巢恶性肿瘤
C56|输卵管恶性肿瘤
C57|胎盘恶性肿瘤
C58|阴茎恶性肿瘤
C59|前列腺恶性肿瘤
C60|睾丸恶性肿瘤
C61|附睾恶性肿瘤
C62|精索恶性肿瘤
C63|肾恶性肿瘤
C64|肾盂恶性肿瘤
C65|输尿管恶性肿瘤
C66|膀胱恶性肿瘤
C67|尿道恶性肿瘤
C68|眼附属器恶性肿瘤
C69|其他泌尿生殖器官恶性肿瘤
C70|头颈部淋巴瘤
C71|霍奇金病
C72|非霍奇金淋巴瘤
C73|多发性骨髓瘤
C74|淋巴样白血病
C75|髓样白血病
C76|单核细胞白血病
C77|其他特指白血病
C78|未特指细胞类型白血病
C79|其他淋巴造血组织恶性肿瘤
C80|急性淋巴细胞白血病
C81|急性髓样白血病
C82|急性早幼粒细胞白血病
C83|急性粒单核细胞白血病
C84|其他急性白血病
C85|慢性淋巴细胞白血病
C86|慢性髓样白血病
C87|其他慢性白血病
C88|其他白血病
C89|其他白血病
C90|蕈样肉芽肿
C91|塞扎里病
C92|其他皮肤T细胞淋巴瘤
C93|其他非霍奇金淋巴瘤
C94|其他淋巴造血组织恶性肿瘤
C95|其他淋巴造血组织恶性肿瘤
C96|朗格汉斯细胞组织细胞增生症
C97|其他组织细胞增生症
C98|其他恶性肿瘤
C99|未特指部位的恶性肿瘤
D00|唇原位癌
D01|口腔原位癌
D02|其他消化系统原位癌
D03|呼吸系统原位癌
D04|乳房原位癌
D05|宫颈原位癌
D06|其他泌尿生殖器官原位癌
D07|皮肤原位癌
D08|其他原位癌
D09|良性脑膜瘤
D10|良性神经鞘瘤
D11|良性垂体瘤
D12|良性颅咽管瘤
D13|良性松果体瘤
D14|良性血管瘤
D15|良性淋巴管瘤
D16|良性脂肪瘤
D17|良性平滑肌瘤
D18|良性横纹肌瘤
D19|良性软骨瘤
D20|良性骨瘤
D21|良性巨细胞瘤
D22|良性其他肿瘤
D23|良性其他肿瘤
D24|良性其他肿瘤
D25|良性其他肿瘤
D26|良性其他肿瘤
D27|良性其他肿瘤
D28|良性其他肿瘤
D29|良性其他肿瘤
D30|良性其他肿瘤
D31|良性其他肿瘤
D32|良性其他肿瘤
D33|良性其他肿瘤
D34|良性其他肿瘤
D35|良性其他肿瘤
D36|良性其他肿瘤
D37|良性其他肿瘤
D38|良性其他肿瘤
D39|良性其他肿瘤
D40|良性其他肿瘤
D41|良性其他肿瘤
D42|良性其他肿瘤
D43|良性其他肿瘤
D44|良性其他肿瘤
D45|良性其他肿瘤
D46|良性其他肿瘤
D47|良性其他肿瘤
D48|良性其他肿瘤
D49|良性其他肿瘤
D50|良性其他肿瘤
D51|良性其他肿瘤
D52|良性其他肿瘤
D53|良性其他肿瘤
D54|良性其他肿瘤
D55|良性其他肿瘤
D56|良性其他肿瘤
D57|良性其他肿瘤
D58|良性其他肿瘤
D59|良性其他肿瘤
D60|良性其他肿瘤
D61|良性其他肿瘤
D62|良性其他肿瘤
D63|良性其他肿瘤
D64|良性其他肿瘤
D65|良性其他肿瘤
D66|良性其他肿瘤
D67|良性其他肿瘤
D68|良性其他肿瘤
D69|良性其他肿瘤
D70|良性其他肿瘤
D71|良性其他肿瘤
D72|良性其他肿瘤
D73|良性其他肿瘤
D74|良性其他肿瘤
D75|良性其他肿瘤
D76|良性其他肿瘤
D77|良性其他肿瘤
D78|良性其他肿瘤
D79|良性其他肿瘤
D80|良性其他肿瘤
D81|良性其他肿瘤
D82|良性其他肿瘤
D83|良性其他肿瘤
D84|良性其他肿瘤
D85|良性其他肿瘤
D86|良性其他肿瘤
D87|良性其他肿瘤
D88|良性其他肿瘤
D89|良性其他肿瘤
D90|良性其他肿瘤
D91|良性其他肿瘤
D92|良性其他肿瘤
D93|良性其他肿瘤
D94|良性其他肿瘤
D95|良性其他肿瘤
D96|良性其他肿瘤
D97|良性其他肿瘤
D98|良性其他肿瘤
D99|良性其他肿瘤
E00|甲状腺功能减退症
E01|碘缺乏相关性甲状腺疾病
E02|甲状腺毒症
E03|其他甲状腺疾病
E04|其他甲状腺疾病
E05|甲状腺肿
E06|甲状腺炎
E07|其他甲状腺疾病
E08|1型糖尿病
E09|2型糖尿病
E10|营养不良相关性糖尿病
E11|其他特指的糖尿病
E12|其他特指的糖尿病
E13|妊娠期糖尿病
E14|糖尿病伴昏迷
E15|糖尿病伴酮症酸中毒
E16|糖尿病伴肾并发症
E17|糖尿病伴眼并发症
E18|糖尿病伴神经并发症
E19|糖尿病伴周围血管并发症
E20|糖尿病伴其他特指的并发症
E21|糖尿病伴多种并发症
E22|糖尿病伴未特指的并发症
E23|低血糖昏迷
E24|其他血糖调节紊乱
E25|其他内分泌疾病
E26|其他内分泌疾病
E27|其他内分泌疾病
E28|弥漫性甲状腺肿伴甲状腺功能亢进症
E29|结节性甲状腺肿伴甲状腺功能亢进症
E30|其他甲状腺毒症
E31|甲状腺功能减退症
E32|其他甲状腺疾病
E33|甲状腺炎
E34|甲状旁腺功能亢进症
E35|甲状旁腺功能减退症
E36|其他甲状旁腺疾病
E37|其他内分泌腺疾病
E38|垂体功能亢进症
E39|垂体功能减退症
E40|尿崩症
E41|其他垂体疾病
E42|肾上腺皮质功能亢进症
E43|肾上腺皮质功能减退症
E44|其他肾上腺疾病
E45|其他肾上腺疾病
E46|other endocrine disorders
E47|other endocrine disorders
E48|性腺功能亢进症
E49|性腺功能减退症
E50|other testicular dysfunction
E51|other ovarian dysfunction
E52|other endocrine disorders
E53|other endocrine disorders
E54|other endocrine disorders
E55|other endocrine disorders
E56|other endocrine disorders
E57|other endocrine disorders
E58|营养性贫血
E59|维生素B12缺乏性贫血
E60|叶酸缺乏性贫血
E61|其他营养性贫血
E62|遗传性溶血性贫血
E63|地中海贫血
E64|其他溶血性贫血
E65|其他贫血
E66|其他凝血障碍
E67|其他血液疾病
E68|铁缺乏
E69|维生素B12缺乏
E70|叶酸缺乏
E71|其他维生素缺乏
E72|维生素A缺乏
E73|维生素D缺乏
E74|维生素E缺乏
E75|维生素K缺乏
E76|维生素C缺乏
E77|维生素B缺乏
E78|矿物质缺乏
E79|其他营养缺乏
E80|蛋白质能量营养不良
E81|其他营养不良
E82|肥胖症
E83|消瘦
E84|其他营养失调
E85|其他代谢紊乱
E86|其他代谢紊乱
E87|其他代谢紊乱
E88|其他代谢紊乱
E89|其他代谢紊乱
E90|其他代谢紊乱
E91|其他代谢紊乱
E92|其他代谢紊乱
E93|其他代谢紊乱
E94|other metabolic disorders
E95|other metabolic disorders
E96|other metabolic disorders
E97|other endocrine disorders
F00|器质性精神障碍
F01|器质性幻觉症
F02|器质性妄想障碍
F03|器质性心境障碍
F04|器质性焦虑障碍
F05|器质性分离障碍
F06|器质性情绪不稳障碍
F07|器质性人格和行为障碍
F08|未特指的器质性精神障碍
F09|酒精使用所致精神障碍
F10|阿片类物质使用所致精神障碍
F11|大麻类物质使用所致精神障碍
F12|镇静催眠药使用所致精神障碍
F13|可卡因使用所致精神障碍
F14|其他兴奋剂使用所致精神障碍
F15|致幻剂使用所致精神障碍
F16|烟草使用所致精神障碍
F17|挥发性溶剂使用所致精神障碍
F18|多种药物使用所致精神障碍
F19|精神分裂症
F20|分裂型障碍
F21|偏执型精神障碍
F22|急性短暂性精神障碍
F23|感应性精神障碍
F24|分裂情感性障碍
F25|其他非器质性精神障碍
F26|躁狂发作
F27|双相情感障碍
F28|抑郁发作
F29|持续性心境障碍
F30|复发性抑郁障碍
F31|其他心境障碍
F32|未特指的心境障碍
F33|惊恐障碍
F34|广泛性焦虑障碍
F35|恐惧症
F36|其他焦虑障碍
F37|分离性障碍
F38|躯体形式障碍
F39|其他神经症性障碍
F40|进食障碍
F41|非器质性睡眠障碍
F42|非器质性性功能障碍
F43|其他行为综合征
F44|成人人格和行为障碍
F45|智能障碍
F46|未特指的精神障碍
F47|多动障碍
F48|品行障碍
F49|混合性行为和情绪障碍
F50|情绪障碍
F51|焦虑障碍
F52|抑郁障碍
F53|其他儿童期情绪障碍
F54|其他儿童期精神障碍
F55|未特指的儿童期精神障碍
F56|精神发育迟滞
F57|精神发育迟滞
F58|精神发育迟滞
F59|精神发育迟滞
F60|精神发育迟滞
F61|未特指的精神发育迟滞
F62|弥漫性发育障碍
F63|Asperger综合征
F64|Rett综合征
F65|其他弥漫性发育障碍
F66|其他儿童期精神障碍
F67|其他精神障碍
F68|未特指的精神障碍
F69|其他精神障碍
F70|其他精神障碍
F71|其他精神障碍
F72|其他精神障碍
F73|其他精神障碍
F74|其他精神障碍
F75|其他精神障碍
F76|其他精神障碍
F77|其他精神障碍
F78|未特指的精神障碍
G00|细菌性脑膜炎
G01|其他脑膜炎
G02|病毒性脑炎
G03|其他脑炎
G04|脊髓炎
G05|脑脓肿
G06|其他颅内和椎管内脓肿
G07|其他中枢神经系统感染
G08|未特指的中枢神经系统感染
G09|系统性红斑狼疮
G10|结节性多动脉炎
G11|其他血管炎
G12|其他自身免疫性疾病
G13|其他自身免疫性疾病
G14|亨廷顿病
G15|肝豆状核变性
G16|其他锥体外系和运动疾患
G17|其他锥体外系和运动疾患
G18|肌张力障碍
G19|其他锥体外系和运动疾患
G20|特发性癫痫
G21|症状性癫痫
G22|其他癫痫
G23|癫痫状态
G24|偏瘫
G25|其他脑血管疾病
G26|其他脑血管疾病
G27|其他脑血管疾病
G28|其他脑血管疾病
G29|偏头痛
G30|其他头痛综合征
G31|紧张型头痛
G32|丛集性头痛
G33|其他头痛综合征
G34|三叉神经痛
G35|面神经疾患
G36|其他脑神经疾患
G37|脊髓空洞症和延髓空洞症
G38|血管性脊髓病
G39|其他脊髓病
G40|脊髓损伤后遗症
G41|其他神经系统疾病
G42|其他神经系统疾病
G43|其他神经系统疾病
G44|其他神经系统疾病
G45|其他神经系统疾病
G46|其他神经系统疾病
G47|阿尔茨海默病
G48|其他变性病性痴呆
G49|其他神经系统变性疾病
G50|其他神经系统变性疾病
G51|帕金森病
G52|其他帕金森综合征
G53|其他运动神经元病
G54|肌萎缩侧索硬化
G55|睡眠障碍
G56|其他睡眠障碍
G57|发作性睡病
G58|其他睡眠障碍
G59|其他睡眠障碍
G60|婴儿脑瘫
G61|其他脑性瘫痪
G62|其他脑性瘫痪
G63|其他脑性瘫痪
G64|其他脑性瘫痪
G65|其他脑性瘫痪
G66|其他脑性瘫痪
G67|其他脑性瘫痪
G68|其他神经系统疾病
G69|未特指的神经系统疾病
H00|睑缘炎
H01|睑腺炎
H02|其他眼睑疾病
H03|眼睑下垂
H04|其他眼睑疾病
H05|泪腺炎
H06|其他泪器疾病
H07|结膜炎
H08|结膜炎
H09|结膜炎
H10|角膜炎
H11|角膜溃疡
H12|其他角膜疾病
H13|其他角膜疾病
H14|白内障
H15|其他晶状体疾病
H16|其他晶状体疾病
H17|玻璃体疾病
H18|视网膜脱离
H19|视网膜血管闭塞
H20|其他视网膜疾病
H21|青光眼
H22|其他青光眼
H23|葡萄膜炎
H24|其他葡萄膜疾病
H25|其他眼球疾病
H26|其他眼球疾病
H27|视神经炎
H28|其他视神经疾病
H29|视路疾病
H30|其他视路疾病
H31|其他视路疾病
H32|眼球突出
H33|眼眶蜂窝织炎
H34|其他眼眶疾病
H35|其他眼眶疾病
H36|玻璃体出血
H37|其他玻璃体疾病
H38|其他玻璃体疾病
H39|其他玻璃体疾病
H40|其他玻璃体疾病
H41|其他玻璃体疾病
H42|中耳炎
H43|其他中耳疾病
H44|其他中耳疾病
H45|其他中耳疾病
H46|其他中耳疾病
H47|其他中耳疾病
H48|其他中耳疾病
H49|梅尼埃病
H50|良性阵发性眩晕
H51|其他前庭功能障碍
H52|其他前庭功能障碍
H53|传导性听力损失
H54|感音神经性听力损失
H55|混合性听力损失
H56|耳鸣
H57|其他耳疾病
H58|其他耳疾病
H59|其他耳疾病
H60|其他耳疾病
H61|其他耳疾病
H62|其他耳疾病
H63|其他耳疾病
H64|其他耳疾病
H65|其他耳疾病
H66|未特指的耳疾病
I00|急性风湿热
I01|急性风湿性心肌炎
I02|急性风湿性心内膜炎
I03|风湿性二尖瓣疾病
I04|风湿性主动脉瓣疾病
I05|风湿性三尖瓣疾病
I06|其他风湿性心脏病
I07|未特指的风湿性心脏病
I08|高血压病
# Total: 1540
I09|高血压性心脏病
I10|高血压性肾脏病
I11|高血压性心脏和肾脏病
I12|继发性高血压
I13|心绞痛
I14|急性心肌梗死
I15|陈旧性心肌梗死
I16|其他急性缺血性心脏病
I17|慢性缺血性心脏病
I18|其他缺血性心脏病
I19|其他缺血性心脏病
I20|肺源性心脏病
I21|其他肺源性心脏病
I22|肺栓塞
I23|其他肺循环疾病
I24|其他肺循环疾病
I25|其他肺循环疾病
I26|非风湿性二尖瓣疾病
I27|非风湿性主动脉瓣疾病
I28|非风湿性三尖瓣疾病
I29|非风湿性肺动脉瓣疾病
I30|急性心肌炎
I31|心肌病
I32|心肌病
I33|心肌病
I34|心肌病
I35|心肌病
I36|心肌病
I37|心肌病
I38|心肌病
I39|心肌病
I40|心力衰竭
I41|其他心脏病
I42|颅内出血
I43|蛛网膜下腔出血
I44|脑梗死
I45|脑梗死
I46|脑梗死
I47|脑梗死
I48|脑梗死
I49|脑梗死
I50|脑梗死
I51|脑梗死
I52|其他脑血管病
I53|其他脑血管病
I54|其他脑血管病
I55|其他脑血管病
I56|其他脑血管病
I57|其他脑血管病
I58|其他脑血管病
I59|其他脑血管病
I60|其他脑血管病
I61|其他脑血管病
I62|急性血栓闭塞性脉管炎
I63|主动脉夹层
I64|其他主动脉疾病
I65|其他主动脉疾病
I66|其他主动脉疾病
I67|其他主动脉疾病
I68|其他主动脉疾病
I69|其他主动脉疾病
I70|其他主动脉疾病
I71|其他主动脉疾病
I72|淋巴管炎和淋巴结炎
I73|其他淋巴管疾病
I74|其他淋巴管疾病
I75|其他循环系统疾病
I76|未特指的循环系统疾病
J00|急性鼻炎
J01|急性鼻窦炎
J02|急性咽炎
J03|急性扁桃体炎
J04|急性喉炎和气管炎
J05|急性梗阻性喉炎
J06|急性上呼吸道感染
J07|未特指的急性上呼吸道感染
J08|急性支气管炎
J09|急性细支气管炎
J10|急性下呼吸道感染
J11|急性下呼吸道感染
J12|流感
J13|流感
J14|流感伴肺炎
J15|流感伴其他表现
J16|其他病毒性肺炎
J17|其他病毒性肺炎
J18|肺炎
J19|肺炎
J20|肺炎
J21|慢性鼻窦炎
J22|慢性鼻炎
J23|慢性扁桃体炎和腺样体肥大
J24|慢性喉炎和喉气管炎
J25|慢性阻塞性肺疾病
J26|慢性阻塞性肺疾病伴有急性加重
J27|哮喘
J28|哮喘
J29|哮喘
J30|哮喘
J31|支气管扩张
J32|肺囊肿
J33|肺气肿
J34|其他慢性下呼吸道疾病
J35|其他慢性下呼吸道疾病
J36|其他慢性下呼吸道疾病
J37|急性肺源性心脏病
J38|肺动脉高压
J39|肺栓塞
J40|其他肺循环疾病
J41|其他肺循环疾病
J42|其他肺循环疾病
J43|其他肺循环疾病
J44|其他肺循环疾病
J45|其他肺循环疾病
J46|其他肺循环疾病
J47|急性呼吸窘迫综合征
J48|肺水肿
J49|肺不张
J50|其他呼吸系统疾病
J51|其他呼吸系统疾病
J52|其他呼吸系统疾病
J53|其他呼吸系统疾病
J54|其他呼吸系统疾病
J55|其他呼吸系统疾病
J56|其他呼吸系统疾病
J57|原发性间质性肺病
J58|其他间质性肺病
J59|胸膜斑
J60|气胸
J61|其他胸膜疾病
J62|其他胸膜疾病
J63|其他胸膜疾病
J64|其他呼吸系统疾病
J65|其他呼吸系统疾病
J66|未特指的呼吸系统疾病
K00|食管炎
K01|食管炎
K02|食管其他疾病
K03|食管其他疾病
K04|食管其他疾病
K05|食管其他疾病
K06|食管其他疾病
K07|食管其他疾病
K08|食管其他疾病
K09|食管其他疾病
K10|急性胃炎
K11|慢性浅表性胃炎
K12|慢性萎缩性胃炎
K13|其他胃炎
K14|十二指肠溃疡
K15|胃溃疡
K16|胃十二指肠溃疡
K17|胃十二指肠溃疡
K18|胃十二指肠溃疡
K19|胃十二指肠溃疡
K20|胃十二指肠溃疡
K21|胃十二指肠溃疡
K22|胃十二指肠溃疡
K23|功能性消化不良
K24|其他功能性胃肠疾病
K25|其他功能性胃肠疾病
K26|其他功能性胃肠疾病
K27|其他功能性胃肠疾病
K28|腹泻和胃肠炎
K29|其他肠道感染性疾病
K30|其他肠道感染性疾病
K31|克罗恩病
K32|溃疡性结肠炎
K33|其他非感染性胃肠炎和结肠炎
K34|其他非感染性胃肠炎和结肠炎
K35|腹股沟疝
K36|股疝
K37|脐疝
K38|腹疝
K39|膈疝
K40|其他腹疝
K41|肠梗阻
K42|肠粘连
K43|其他肠梗阻
K44|其他肠梗阻
K45|肠扭转
K46|肠套叠
K47|其他肠疾病
K48|其他肠疾病
K49|其他肠疾病
K50|其他肠疾病
K51|其他肠疾病
K52|其他肠疾病
K53|其他肠疾病
K54|其他肠疾病
K55|急性阑尾炎
K56|慢性阑尾炎
K57|其他阑尾疾病
K58|其他阑尾疾病
K59|其他阑尾疾病
K60|胆囊结石伴胆囊炎
K61|胆囊结石不伴胆囊炎
K62|急性胆囊炎
K63|慢性胆囊炎
K64|胆道疾病
K65|胆道疾病
K66|胆道疾病
K67|胆道疾病
K68|急性胰腺炎
K69|慢性胰腺炎
K70|其他胰腺疾病
K71|其他胰腺疾病
K72|其他胰腺疾病
K73|肝脓肿
K74|其他肝脏疾病
K75|其他肝脏疾病
K76|肝脂肪变性
K77|慢性肝炎
K78|肝纤维化
K79|肝硬化
K80|肝衰竭
K81|其他肝脏疾病
K82|其他肝脏疾病
K83|其他肝脏疾病
K84|其他消化系统疾病
K85|未特指的消化系统疾病
L00|寻常痤疮
L01|脓疱疮
L02|毛囊炎
L03|蜂窝织炎
L04|淋巴管炎
L05|其他皮肤感染
L06|其他皮肤感染
L07|寻常型银屑病
L08|脓疱型银屑病
L09|关节病型银屑病
L10|红皮病型银屑病
L11|其他银屑病
L12|特应性皮炎
L13|脂溢性皮炎
L14|接触性皮炎
L15|接触性皮炎
L16|其他湿疹
L17|其他湿疹
L18|其他湿疹
L19|其他湿疹
L20|其他湿疹
L21|其他湿疹
L22|荨麻疹
L23|斑秃
L24|雄激素性脱发
L25|其他脱发
L26|多毛症
L27|其他毛发病
L28|白癜风
L29|其他色素障碍
L30|其他色素障碍
L31|其他色素障碍
L32|其他色素障碍
L33|其他色素障碍
L34|其他色素障碍
L35|其他色素障碍
L36|其他色素障碍
L37|其他色素障碍
L38|单纯疱疹
L39|皮肤良性肿瘤
L40|皮肤良性肿瘤
L41|皮肤良性肿瘤
L42|皮肤良性肿瘤
L43|褥疮
L44|褥疮
L45|褥疮
L46|褥疮
L47|褥疮
L48|褥疮
L49|褥疮
L50|其他皮肤疾病
L51|其他皮肤疾病
L52|其他皮肤疾病
L53|其他皮肤疾病
L54|其他皮肤疾病
L55|其他皮肤疾病
L56|其他皮肤疾病
L57|其他皮肤疾病
L58|其他皮肤疾病
L59|未特指的皮肤疾病
M00|类风湿性关节炎
M01|类风湿性关节炎
M02|类风湿性关节炎
M03|类风湿性关节炎
M04|类风湿性关节炎
M05|血清反应阴性类风湿性关节炎
M06|其他类风湿性关节炎
M07|幼年型类风湿性关节炎
M08|其他幼年型关节炎
M09|其他关节炎
M10|系统性红斑狼疮
M11|混合性结缔组织病
M12|系统性硬化症
M13|其他系统性结缔组织病
M14|其他系统性结缔组织病
M15|其他系统性结缔组织病
M16|其他系统性结缔组织病
M17|其他系统性结缔组织病
M18|其他系统性结缔组织病
M19|其他系统性结缔组织病
M20|强直性脊柱炎
M21|其他血清阴性脊柱关节病
M22|其他血清阴性脊柱关节病
M23|其他血清阴性脊柱关节病
M24|其他血清阴性脊柱关节病
M25|其他血清阴性脊柱关节病
M26|幼年型强直性脊柱炎
M27|其他幼年型脊柱关节病
M28|系统性红斑狼疮
M29|皮肌炎
M30|多发性肌炎
M31|重叠综合征
M32|其他系统性结缔组织病
M33|其他系统性结缔组织病
M34|痛风性关节炎
M35|其他晶体性关节炎
M36|其他晶体性关节炎
M37|其他晶体性关节炎
M38|其他关节炎
M39|其他关节炎
M40|其他关节炎
M41|骨关节炎
M42|骨关节炎
M43|骨关节炎
M44|骨关节炎
M45|骨关节炎
M46|其他关节炎
M47|其他关节炎
M48|骨质疏松症
M49|其他骨密度和结构疾病
M50|其他骨密度和结构疾病
M51|其他骨密度和结构疾病
M52|肩关节炎
M53|肘关节炎
M54|腕关节炎
M55|髋关节炎
M56|膝关节炎
M57|踝关节炎
M58|其他关节炎
M59|其他关节病
M60|其他关节病
M61|其他关节病
M62|其他脊柱病
M63|其他脊柱病
M64|其他脊柱病
M65|其他脊柱病
M66|其他脊柱病
M67|其他脊柱病
M68|其他脊柱病
M69|其他脊柱病
M70|其他脊柱病
M71|其他脊柱病
M72|其他肌肉骨骼系统疾病
M73|其他肌肉骨骼系统疾病
M74|其他肌肉骨骼系统疾病
M75|其他肌肉骨骼系统疾病
M76|其他肌肉骨骼系统疾病
M77|其他肌肉骨骼系统疾病
M78|其他肌肉骨骼系统疾病
M79|其他肌肉骨骼系统疾病
M80|其他肌肉骨骼系统疾病
M81|未特指的肌肉骨骼系统疾病
N00|急性肾小球肾炎
N01|急进性肾小球肾炎
N02|慢性肾小球肾炎
N03|未特指的肾小球肾炎
N04|肾病综合征
N05|IgA肾病
N06|遗传性肾疾病
N07|遗传性肾疾病
N08|肾小球疾病
N09|肾小球疾病
N10|急性肾小管间质性肾炎
N11|慢性肾小管间质性肾炎
N12|肾小管间质性肾炎
N13|梗阻性和反流性尿路病
N14|梗阻性和反流性尿路病
N15|其他肾和输尿管疾病
N16|其他肾和输尿管疾病
N17|其他肾和输尿管疾病
N18|其他肾和输尿管疾病
N19|其他肾和输尿管疾病
N20|肾结石
N21|其他泌尿系结石
N22|其他泌尿系结石
N23|其他泌尿系结石
N24|慢性肾功能衰竭
N25|其他肾功能衰竭
N26|囊性肾病
N27|其他囊性肾病
N28|其他肾疾病
N29|其他肾疾病
N30|其他肾疾病
N31|其他肾疾病
N32|其他肾疾病
N33|其他肾疾病
N34|其他肾疾病
N35|其他肾疾病
N36|其他肾疾病
N37|尿路感染
N38|其他泌尿系感染
N39|其他泌尿系感染
N40|其他泌尿系感染
N41|其他泌尿系感染
N42|其他泌尿系感染
N43|其他泌尿系感染
N44|其他泌尿系感染
N45|其他泌尿系感染
N46|其他泌尿系感染
